layer	short_heading	long_heading	unit	direction	data_type	scale	display	rank	tooltip	conversion
crossings	impassability	Impassability Score		reverse	decimal	linear	not yet	5	The aquatic impassability score for the road-stream crossing (0 = Completely Passable, 1 = Impassable)	
crossings	bar_type	Crossing Type		reverse	text	categorical	no	17	Type of stream crossing (bridge, culvert, multiple culvert, etc.)	{"1":"Culvert","2":"Bridge","3":"Dam"}
crossings	jurisdiction	Road Jurisdiction		forward	text	categorical	no	25	Responsibility for road maintenance at crossing	{"0":"Unaccepted", "1":"Mass DOT", "2":"City/Town", "6":"State Park/Forest"}
crossings	nhs	National Highway System		forward	text	categorical	no	26	National Highway System status of road at crossing	{"0":"Not on NHS","1":"NHS-Interstate","14":"NHS-Other","15":"NHS-Arterial"}
crossings	drain_tot	Drainage Area	KM^2	forward	decimal	log	no	18	Drainage area (square kilometers) of all upstream reaches	
crossings	strkm_tot	Stream Length	KM	forward	decimal	log	no	19	Stream length (kilometers) of all upstream reaches	
crossings	upstr_bars	Structure Count		reverse	integer	log	no	20	Total number of upstream structures crossing the stream	
crossings	Slope_perc	Stream Slope	%	forward	decimal	log	no	21	The slope of the stream reach containing the crossing	
crossings	Q2_m3_s	Q2 Discharge	M^3/s	forward	decimal	log	no	22	The predicted two-year high discharge value determined using the Jacob's regime equation for gravel dominated stream beds	
crossings	w_W_m2_ST	Unit Stream Power	W/M	forward	decimal	log	no	23	The total energy exerted by the stream divided by the width of the stream determined using Q2 discharge and bankful width	
crossings	hydro_rof	Hydraulic Risk		reverse	decimal	linear	not yet	11	Risk of hydraulic failure for the stream crossing (0 = Low, 1 = High)	
crossings	struct_rof	Structural Risk		reverse	decimal	linear	not yet	12	Risk of structural failure for the stream crossing (0 = Low, 1 = High)	
crossings	geo_rof	Geomorphic Risk		reverse	decimal	linear	not yet	13	Risk of geomorphic failure for the stream crossing (0 = Low, 1 =  High)	
crossings	max_rof	Overall Risk		reverse	decimal	linear	yes	3	Maximum value for hydrologic, structural, and geomorphic risk of failure (0 = Low, 1 = High)	
crossings	ave_del	Average EMS Delay	Min.	reverse	decimal	log	not yet	14	Average traffic delay for emergency medical services throughout the watershed, if the road is closed due to crossing failure	
crossings	ave_aff_del	Average Affected EMS Delay	Min.	reverse	decimal	log	not yet	15	Average traffic delay for emergency medical services for trips using the crossing, if the road is closed due to crossing failure	
crossings	max_del	Maximum EMS Delay	Min.	reverse	decimal	log	not yet	16	Maximum traffic delay for emergency medical services, if the road is closed due to crossing failure	
crossings	int_eco_dis	Ecological Disruption		reverse	decimal	linear	yes	1	Integrated metric that combines overall connectivity restoration potential (for all streams) and Coldwater (16 C) restoration potential (for cold water streams)	
